Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_initial_t,p_final_t,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,1865,1635,10.33069920539856
tai15_15.txt - Instance 2,15,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,1911,1635,11.254334211349487
tai15_15.txt - Instance 3,15,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,1942,1617,12.88487434387207
tai15_15.txt - Instance 4,15,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,1946,1626,14.740968942642212
tai15_15.txt - Instance 5,15,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,1725,1629,11.587775945663452
tai15_15.txt - Instance 6,15,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,1739,1584,11.933671474456787
tai15_15.txt - Instance 7,15,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,1993,1552,10.344506740570068
tai15_15.txt - Instance 8,15,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,1904,1621,10.768961429595947
tai15_15.txt - Instance 9,15,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2057,1727,10.653978824615479
tai15_15.txt - Instance 10,15,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,1808,1708,10.488049745559692
tai20_15.txt - Instance 1,20,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2225,1900,16.094799041748047
tai20_15.txt - Instance 2,20,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2266,2023,16.091089487075806
tai20_15.txt - Instance 3,20,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2183,1859,16.6272873878479
tai20_15.txt - Instance 4,20,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2278,1859,15.866178750991821
tai20_15.txt - Instance 5,20,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2335,1961,15.600017547607422
tai20_15.txt - Instance 6,20,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2089,2031,16.025588274002075
tai20_15.txt - Instance 7,20,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2112,1981,15.437026262283325
tai20_15.txt - Instance 8,20,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2197,1993,15.433815956115723
tai20_15.txt - Instance 9,20,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2123,1968,15.507009506225586
tai20_15.txt - Instance 10,20,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,1910,1910,16.590157508850098
tai20_20.txt - Instance 1,20,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,2679,2282,26.28325057029724
tai20_20.txt - Instance 2,20,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,2519,2376,25.540881633758545
tai20_20.txt - Instance 3,20,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,2449,2322,27.764566659927368
tai20_20.txt - Instance 4,20,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,2773,2417,25.861937522888184
tai20_20.txt - Instance 5,20,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,2679,2384,25.763638496398926
tai20_20.txt - Instance 6,20,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,2297,2297,25.020377159118652
tai20_20.txt - Instance 7,20,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,2870,2429,25.335452556610107
tai20_20.txt - Instance 8,20,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,2621,2308,24.957064867019653
tai20_20.txt - Instance 9,20,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,2689,2297,26.053213834762573
tai20_20.txt - Instance 10,20,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,2691,2302,25.995853900909424
tai30_15.txt - Instance 1,30,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,3120,2602,28.560959577560425
tai30_15.txt - Instance 2,30,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,3071,2693,29.243159294128418
tai30_15.txt - Instance 3,30,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2795,2780,29.29209613800049
tai30_15.txt - Instance 4,30,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,3068,2658,27.975472450256348
tai30_15.txt - Instance 5,30,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,3114,2691,30.20679235458374
tai30_15.txt - Instance 6,30,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2967,2649,29.593122959136963
tai30_15.txt - Instance 7,30,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,3144,2606,28.26755166053772
tai30_15.txt - Instance 8,30,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2463,2463,28.155540943145752
tai30_15.txt - Instance 9,30,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,3175,2654,30.261980295181274
tai30_15.txt - Instance 10,30,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,2940,2566,30.24662160873413
tai30_20.txt - Instance 1,30,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,3166,3166,48.772605895996094
tai30_20.txt - Instance 2,30,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,3411,3054,49.75587511062622
tai30_20.txt - Instance 3,30,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,3220,3094,49.38160300254822
tai30_20.txt - Instance 4,30,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,3337,3044,46.88027238845825
