Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,500,0.2,0.01,10,0.9,10,1865,1754,0.5992839336395264
tai15_15.txt - Instance 2,15,15,500,0.2,0.01,10,0.9,10,1911,1758,0.6522221565246582
tai15_15.txt - Instance 3,15,15,500,0.2,0.01,10,0.9,10,1942,1730,0.6640148162841797
tai15_15.txt - Instance 4,15,15,500,0.2,0.01,10,0.9,10,1946,1739,0.6507914066314697
tai15_15.txt - Instance 5,15,15,500,0.2,0.01,10,0.9,10,1725,1725,0.6338198184967041
tai15_15.txt - Instance 6,15,15,500,0.2,0.01,10,0.9,10,1739,1680,0.5765082836151123
tai15_15.txt - Instance 7,15,15,500,0.2,0.01,10,0.9,10,1993,1763,0.7761845588684082
tai15_15.txt - Instance 8,15,15,500,0.2,0.01,10,0.9,10,1904,1809,0.6896731853485107
tai15_15.txt - Instance 9,15,15,500,0.2,0.01,10,0.9,10,2057,1877,0.6319613456726074
tai15_15.txt - Instance 10,15,15,500,0.2,0.01,10,0.9,10,1808,1688,0.6169877052307129
tai20_15.txt - Instance 1,20,15,500,0.2,0.01,10,0.9,10,2225,2058,0.8837590217590332
tai20_15.txt - Instance 2,20,15,500,0.2,0.01,10,0.9,10,2266,2150,0.8997969627380371
tai20_15.txt - Instance 3,20,15,500,0.2,0.01,10,0.9,10,2183,2167,0.8999981880187988
tai20_15.txt - Instance 4,20,15,500,0.2,0.01,10,0.9,10,2278,1962,0.8354384899139404
tai20_15.txt - Instance 5,20,15,500,0.2,0.01,10,0.9,10,2335,2071,0.8312191963195801
tai20_15.txt - Instance 6,20,15,500,0.2,0.01,10,0.9,10,2089,2089,0.921666145324707
tai20_15.txt - Instance 7,20,15,500,0.2,0.01,10,0.9,10,2112,2112,0.794823169708252
tai20_15.txt - Instance 8,20,15,500,0.2,0.01,10,0.9,10,2197,2089,0.89668869972229
tai20_15.txt - Instance 9,20,15,500,0.2,0.01,10,0.9,10,2123,2075,0.9522943496704102
tai20_15.txt - Instance 10,20,15,500,0.2,0.01,10,0.9,10,1910,1910,0.8834383487701416
