Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,100,0.2,0.01,10,0.9,10,1865,1862,0.14306902885437012
tai15_15.txt - Instance 2,15,15,100,0.2,0.01,10,0.9,10,1911,1848,0.1412346363067627
tai15_15.txt - Instance 3,15,15,100,0.2,0.01,10,0.9,10,1942,1936,0.15036964416503906
tai15_15.txt - Instance 4,15,15,100,0.2,0.01,10,0.9,10,1946,1815,0.14370203018188477
tai15_15.txt - Instance 5,15,15,100,0.2,0.01,10,0.9,10,1725,1725,0.14844584465026855
tai15_15.txt - Instance 6,15,15,100,0.2,0.01,10,0.9,10,1739,1739,0.14984607696533203
tai15_15.txt - Instance 7,15,15,100,0.2,0.01,10,0.9,10,1993,1836,0.16678333282470703
tai15_15.txt - Instance 8,15,15,100,0.2,0.01,10,0.9,10,1904,1904,0.1331169605255127
tai15_15.txt - Instance 9,15,15,100,0.2,0.01,10,0.9,10,2057,1933,0.1837618350982666
tai15_15.txt - Instance 10,15,15,100,0.2,0.01,10,0.9,10,1808,1738,0.16652250289916992
tai20_15.txt - Instance 1,20,15,100,0.2,0.01,10,0.9,10,2225,1982,0.23307418823242188
tai20_15.txt - Instance 2,20,15,100,0.2,0.01,10,0.9,10,2266,2192,0.23351025581359863
tai20_15.txt - Instance 3,20,15,100,0.2,0.01,10,0.9,10,2183,2183,0.2004392147064209
tai20_15.txt - Instance 4,20,15,100,0.2,0.01,10,0.9,10,2278,2132,0.21616244316101074
tai20_15.txt - Instance 5,20,15,100,0.2,0.01,10,0.9,10,2335,2122,0.25011563301086426
tai20_15.txt - Instance 6,20,15,100,0.2,0.01,10,0.9,10,2089,2089,0.21637368202209473
tai20_15.txt - Instance 7,20,15,100,0.2,0.01,10,0.9,10,2112,2112,0.23333430290222168
tai20_15.txt - Instance 8,20,15,100,0.2,0.01,10,0.9,10,2197,2197,0.21702122688293457
tai20_15.txt - Instance 9,20,15,100,0.2,0.01,10,0.9,10,2123,2123,0.199615478515625
tai20_15.txt - Instance 10,20,15,100,0.2,0.01,10,0.9,10,1910,1910,0.2163991928100586
tai20_20.txt - Instance 1,20,20,100,0.2,0.01,10,0.9,10,2679,2679,0.3354792594909668
