Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,5000,0.2,0.8,10,1.01,100,1865,1557,5.976961612701416
tai15_15.txt - Instance 2,15,15,5000,0.2,0.8,10,1.01,100,1911,1706,5.849557876586914
tai15_15.txt - Instance 3,15,15,5000,0.2,0.8,10,1.01,100,1942,1691,6.0034003257751465
tai15_15.txt - Instance 4,15,15,5000,0.2,0.8,10,1.01,100,1946,1660,5.813319683074951
tai15_15.txt - Instance 5,15,15,5000,0.2,0.8,10,1.01,100,1725,1660,5.883280038833618
tai15_15.txt - Instance 6,15,15,5000,0.2,0.8,10,1.01,100,1739,1601,6.566040992736816
tai15_15.txt - Instance 7,15,15,5000,0.2,0.8,10,1.01,100,1993,1697,9.227358341217041
tai15_15.txt - Instance 8,15,15,5000,0.2,0.8,10,1.01,100,1904,1673,7.0001256465911865
tai15_15.txt - Instance 9,15,15,5000,0.2,0.8,10,1.01,100,2057,1703,8.204328536987305
tai15_15.txt - Instance 10,15,15,5000,0.2,0.8,10,1.01,100,1808,1684,8.507798194885254
tai20_15.txt - Instance 1,20,15,5000,0.2,0.8,10,1.01,100,2225,2042,12.100106954574585
tai20_15.txt - Instance 2,20,15,5000,0.2,0.8,10,1.01,100,2266,1974,12.136968612670898
tai20_15.txt - Instance 3,20,15,5000,0.2,0.8,10,1.01,100,2183,2029,11.521472692489624
tai20_15.txt - Instance 4,20,15,5000,0.2,0.8,10,1.01,100,2278,1971,12.471623182296753
tai20_15.txt - Instance 5,20,15,5000,0.2,0.8,10,1.01,100,2335,2052,12.452584505081177
tai20_15.txt - Instance 6,20,15,5000,0.2,0.8,10,1.01,100,2089,1998,12.913080930709839
tai20_15.txt - Instance 7,20,15,5000,0.2,0.8,10,1.01,100,2112,2016,12.216000080108643
tai20_15.txt - Instance 8,20,15,5000,0.2,0.8,10,1.01,100,2197,2016,13.065507888793945
tai20_15.txt - Instance 9,20,15,5000,0.2,0.8,10,1.01,100,2123,1926,12.782997608184814
tai20_15.txt - Instance 10,20,15,5000,0.2,0.8,10,1.01,100,1910,1865,12.787644624710083
tai20_20.txt - Instance 1,20,20,5000,0.2,0.8,10,1.01,100,2679,2427,21.65329885482788
tai20_20.txt - Instance 2,20,20,5000,0.2,0.8,10,1.01,100,2519,2454,20.006584405899048
tai20_20.txt - Instance 3,20,20,5000,0.2,0.8,10,1.01,100,2449,2365,18.662299394607544
tai20_20.txt - Instance 4,20,20,5000,0.2,0.8,10,1.01,100,2773,2487,16.736754655838013
tai20_20.txt - Instance 5,20,20,5000,0.2,0.8,10,1.01,100,2679,2391,15.670665502548218
tai20_20.txt - Instance 6,20,20,5000,0.2,0.8,10,1.01,100,2297,2297,15.97621774673462
tai20_20.txt - Instance 7,20,20,5000,0.2,0.8,10,1.01,100,2870,2532,16.082526922225952
tai20_20.txt - Instance 8,20,20,5000,0.2,0.8,10,1.01,100,2621,2418,16.516176462173462
