Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,100,0.2,0.01,10,0.9,10,1865,1841,-0.43109750747680664
tai15_15.txt - Instance 2,15,15,100,0.2,0.01,10,0.9,10,1911,1852,-0.32045960426330566
tai15_15.txt - Instance 3,15,15,100,0.2,0.01,10,0.9,10,1942,1816,-0.3547534942626953
tai15_15.txt - Instance 4,15,15,100,0.2,0.01,10,0.9,10,1946,1638,-0.3974907398223877
tai15_15.txt - Instance 5,15,15,100,0.2,0.01,10,0.9,10,1725,1725,-0.29979753494262695
tai15_15.txt - Instance 6,15,15,100,0.2,0.01,10,0.9,10,1739,1679,-0.2677125930786133
tai15_15.txt - Instance 7,15,15,100,0.2,0.01,10,0.9,10,1993,1993,-0.27518272399902344
tai15_15.txt - Instance 8,15,15,100,0.2,0.01,10,0.9,10,1904,1875,-0.2832612991333008
tai15_15.txt - Instance 9,15,15,100,0.2,0.01,10,0.9,10,2057,2019,-0.24434471130371094
tai15_15.txt - Instance 10,15,15,100,0.2,0.01,10,0.9,10,1808,1808,-0.26173949241638184
tai15_15.txt - Instance 1,15,15,200,0.2,0.01,10,0.9,10,1865,1757,-0.8444225788116455
tai15_15.txt - Instance 2,15,15,200,0.2,0.01,10,0.9,10,1911,1858,-0.8332114219665527
tai15_15.txt - Instance 3,15,15,200,0.2,0.01,10,0.9,10,1942,1831,-0.5833029747009277
tai15_15.txt - Instance 4,15,15,200,0.2,0.01,10,0.9,10,1946,1768,-0.7495253086090088
tai15_15.txt - Instance 5,15,15,200,0.2,0.01,10,0.9,10,1725,1725,-0.7168776988983154
tai15_15.txt - Instance 6,15,15,200,0.2,0.01,10,0.9,10,1739,1739,-0.849733829498291
tai15_15.txt - Instance 7,15,15,200,0.2,0.01,10,0.9,10,1993,1842,-0.6355776786804199
tai15_15.txt - Instance 8,15,15,200,0.2,0.01,10,0.9,10,1904,1883,-0.7812368869781494
tai15_15.txt - Instance 9,15,15,200,0.2,0.01,10,0.9,10,2057,1918,-0.6885242462158203
tai15_15.txt - Instance 10,15,15,200,0.2,0.01,10,0.9,10,1808,1781,-0.6203567981719971
