Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan
tai15_15.txt - Instance 1,15,15,1000,0.2,0.01,10,0.9,10,1865,1742
tai15_15.txt - Instance 2,15,15,1000,0.2,0.01,10,0.9,10,1911,1762
tai15_15.txt - Instance 3,15,15,1000,0.2,0.01,10,0.9,10,1942,1774
tai15_15.txt - Instance 4,15,15,1000,0.2,0.01,10,0.9,10,1946,1741
tai15_15.txt - Instance 5,15,15,1000,0.2,0.01,10,0.9,10,1725,1700
tai15_15.txt - Instance 6,15,15,1000,0.2,0.01,10,0.9,10,1739,1677
tai15_15.txt - Instance 7,15,15,1000,0.2,0.01,10,0.9,10,1993,1784
tai15_15.txt - Instance 8,15,15,1000,0.2,0.01,10,0.9,10,1904,1734
tai15_15.txt - Instance 9,15,15,1000,0.2,0.01,10,0.9,10,2057,1824
tai15_15.txt - Instance 10,15,15,1000,0.2,0.01,10,0.9,10,1808,1715
tai20_15.txt - Instance 1,20,15,1000,0.2,0.01,10,0.9,10,2225,2048
tai20_15.txt - Instance 2,20,15,1000,0.2,0.01,10,0.9,10,2266,2089
tai20_15.txt - Instance 3,20,15,1000,0.2,0.01,10,0.9,10,2183,2119
tai20_15.txt - Instance 4,20,15,1000,0.2,0.01,10,0.9,10,2278,2025
tai20_15.txt - Instance 5,20,15,1000,0.2,0.01,10,0.9,10,2335,2151
tai20_15.txt - Instance 6,20,15,1000,0.2,0.01,10,0.9,10,2089,2069
tai20_15.txt - Instance 7,20,15,1000,0.2,0.01,10,0.9,10,2112,2112
tai20_15.txt - Instance 8,20,15,1000,0.2,0.01,10,0.9,10,2197,2121
tai20_15.txt - Instance 9,20,15,1000,0.2,0.01,10,0.9,10,2123,2060
tai20_15.txt - Instance 10,20,15,1000,0.2,0.01,10,0.9,10,1910,1910
tai20_20.txt - Instance 1,20,20,1000,0.2,0.01,10,0.9,10,2679,2524
tai20_20.txt - Instance 2,20,20,1000,0.2,0.01,10,0.9,10,2519,2477
tai20_20.txt - Instance 3,20,20,1000,0.2,0.01,10,0.9,10,2449,2449
tai20_20.txt - Instance 4,20,20,1000,0.2,0.01,10,0.9,10,2773,2538
tai20_20.txt - Instance 5,20,20,1000,0.2,0.01,10,0.9,10,2679,2554
tai20_20.txt - Instance 6,20,20,1000,0.2,0.01,10,0.9,10,2297,2297
tai20_20.txt - Instance 7,20,20,1000,0.2,0.01,10,0.9,10,2870,2646
tai20_20.txt - Instance 8,20,20,1000,0.2,0.01,10,0.9,10,2621,2463
tai20_20.txt - Instance 9,20,20,1000,0.2,0.01,10,0.9,10,2689,2529
