Instance,Job,Operation,Machine,Start,End
tai15_15.txt - Instance 1,5,0,5,0,29
tai15_15.txt - Instance 1,2,0,1,0,4
tai15_15.txt - Instance 1,7,0,11,0,32
tai15_15.txt - Instance 1,13,0,8,0,28
tai15_15.txt - Instance 1,4,0,7,0,78
tai15_15.txt - Instance 1,1,0,4,0,74
tai15_15.txt - Instance 1,5,1,3,29,90
tai15_15.txt - Instance 1,10,0,4,74,164
tai15_15.txt - Instance 1,6,0,12,0,18
tai15_15.txt - Instance 1,8,0,10,0,85
tai15_15.txt - Instance 1,12,0,5,29,94
tai15_15.txt - Instance 1,5,2,12,90,178
tai15_15.txt - Instance 1,13,1,14,28,49
tai15_15.txt - Instance 1,9,0,6,0,5
tai15_15.txt - Instance 1,1,1,5,94,125
tai15_15.txt - Instance 1,10,1,7,164,191
tai15_15.txt - Instance 1,13,2,4,164,215
tai15_15.txt - Instance 1,7,1,5,125,177
tai15_15.txt - Instance 1,14,0,10,85,142
tai15_15.txt - Instance 1,6,1,3,90,165
tai15_15.txt - Instance 1,0,0,6,5,99
tai15_15.txt - Instance 1,0,1,12,178,244
tai15_15.txt - Instance 1,12,1,8,94,156
tai15_15.txt - Instance 1,10,2,13,191,192
tai15_15.txt - Instance 1,8,1,11,85,115
tai15_15.txt - Instance 1,2,1,8,156,238
tai15_15.txt - Instance 1,4,1,8,238,261
tai15_15.txt - Instance 1,3,0,5,177,250
tai15_15.txt - Instance 1,11,0,2,0,47
tai15_15.txt - Instance 1,8,2,6,115,211
tai15_15.txt - Instance 1,4,2,6,261,282
tai15_15.txt - Instance 1,9,1,11,115,174
tai15_15.txt - Instance 1,9,2,9,174,204
tai15_15.txt - Instance 1,12,2,10,156,253
tai15_15.txt - Instance 1,1,2,7,191,279
tai15_15.txt - Instance 1,10,3,0,192,200
tai15_15.txt - Instance 1,11,1,14,49,92
tai15_15.txt - Instance 1,5,3,13,192,262
tai15_15.txt - Instance 1,14,1,8,261,277
tai15_15.txt - Instance 1,7,2,0,200,209
tai15_15.txt - Instance 1,13,3,13,262,337
tai15_15.txt - Instance 1,6,2,7,279,299
tai15_15.txt - Instance 1,4,3,10,282,342
tai15_15.txt - Instance 1,0,2,4,244,254
tai15_15.txt - Instance 1,0,3,7,299,352
tai15_15.txt - Instance 1,3,1,2,250,273
tai15_15.txt - Instance 1,8,3,14,211,302
tai15_15.txt - Instance 1,2,2,9,238,278
tai15_15.txt - Instance 1,13,4,5,337,354
tai15_15.txt - Instance 1,5,4,11,262,278
tai15_15.txt - Instance 1,2,3,12,278,364
tai15_15.txt - Instance 1,10,4,5,354,445
tai15_15.txt - Instance 1,11,2,0,209,284
tai15_15.txt - Instance 1,8,4,0,302,315
tai15_15.txt - Instance 1,11,3,12,364,372
tai15_15.txt - Instance 1,0,4,3,352,378
tai15_15.txt - Instance 1,8,5,1,315,402
tai15_15.txt - Instance 1,6,3,8,299,303
tai15_15.txt - Instance 1,9,3,2,273,333
tai15_15.txt - Instance 1,12,3,2,333,353
tai15_15.txt - Instance 1,7,3,7,352,401
tai15_15.txt - Instance 1,1,3,14,302,353
tai15_15.txt - Instance 1,4,4,4,342,378
tai15_15.txt - Instance 1,0,5,2,378,393
tai15_15.txt - Instance 1,2,4,6,364,414
tai15_15.txt - Instance 1,14,2,12,372,414
tai15_15.txt - Instance 1,2,5,11,414,468
tai15_15.txt - Instance 1,3,2,9,278,308
tai15_15.txt - Instance 1,3,3,6,414,444
tai15_15.txt - Instance 1,7,4,12,414,475
tai15_15.txt - Instance 1,4,5,9,378,407
tai15_15.txt - Instance 1,11,4,6,444,495
tai15_15.txt - Instance 1,12,4,3,378,409
tai15_15.txt - Instance 1,13,5,6,495,584
