Instance,Job,Operation,Machine,Start,End
tai15_15.txt - Instance 1,3,0,5,0,73
tai15_15.txt - Instance 1,6,0,12,0,18
tai15_15.txt - Instance 1,7,0,11,0,32
tai15_15.txt - Instance 1,3,1,2,73,96
tai15_15.txt - Instance 1,1,0,4,0,74
tai15_15.txt - Instance 1,2,0,1,0,4
tai15_15.txt - Instance 1,14,0,10,0,57
tai15_15.txt - Instance 1,14,1,8,57,73
tai15_15.txt - Instance 1,7,1,5,73,125
tai15_15.txt - Instance 1,0,0,6,0,94
tai15_15.txt - Instance 1,10,0,4,74,164
tai15_15.txt - Instance 1,8,0,10,57,142
tai15_15.txt - Instance 1,9,0,6,94,99
tai15_15.txt - Instance 1,0,1,12,94,160
tai15_15.txt - Instance 1,4,0,7,0,78
tai15_15.txt - Instance 1,13,0,8,73,101
tai15_15.txt - Instance 1,12,0,5,125,190
tai15_15.txt - Instance 1,5,0,5,190,219
tai15_15.txt - Instance 1,11,0,2,96,143
tai15_15.txt - Instance 1,7,2,0,125,134
tai15_15.txt - Instance 1,10,1,7,164,191
tai15_15.txt - Instance 1,8,1,11,142,172
tai15_15.txt - Instance 1,7,3,7,191,240
tai15_15.txt - Instance 1,14,2,12,160,202
tai15_15.txt - Instance 1,9,1,11,172,231
tai15_15.txt - Instance 1,6,1,3,18,93
tai15_15.txt - Instance 1,1,1,5,219,250
tai15_15.txt - Instance 1,2,1,8,101,183
tai15_15.txt - Instance 1,3,2,9,96,126
tai15_15.txt - Instance 1,7,4,12,240,301
tai15_15.txt - Instance 1,14,3,6,202,236
tai15_15.txt - Instance 1,2,2,9,183,223
tai15_15.txt - Instance 1,4,1,8,183,206
tai15_15.txt - Instance 1,14,4,4,236,273
tai15_15.txt - Instance 1,10,2,13,191,192
tai15_15.txt - Instance 1,5,1,3,219,280
tai15_15.txt - Instance 1,0,2,4,273,283
tai15_15.txt - Instance 1,14,5,1,273,299
tai15_15.txt - Instance 1,8,2,6,236,332
tai15_15.txt - Instance 1,1,2,7,250,338
tai15_15.txt - Instance 1,2,3,12,301,387
tai15_15.txt - Instance 1,12,1,8,206,268
tai15_15.txt - Instance 1,13,1,14,101,122
tai15_15.txt - Instance 1,4,2,6,332,353
tai15_15.txt - Instance 1,0,3,7,338,391
tai15_15.txt - Instance 1,11,1,14,143,186
tai15_15.txt - Instance 1,9,2,9,231,261
tai15_15.txt - Instance 1,6,2,7,391,411
tai15_15.txt - Instance 1,11,2,0,186,261
tai15_15.txt - Instance 1,7,5,13,301,336
tai15_15.txt - Instance 1,14,6,13,336,404
tai15_15.txt - Instance 1,3,3,6,353,383
tai15_15.txt - Instance 1,11,3,12,387,395
tai15_15.txt - Instance 1,4,3,10,353,413
tai15_15.txt - Instance 1,10,3,0,261,269
tai15_15.txt - Instance 1,1,3,14,338,389
tai15_15.txt - Instance 1,4,4,4,413,449
tai15_15.txt - Instance 1,0,4,3,391,417
tai15_15.txt - Instance 1,6,3,8,411,415
tai15_15.txt - Instance 1,2,4,6,387,437
tai15_15.txt - Instance 1,5,2,12,395,483
tai15_15.txt - Instance 1,4,5,9,449,478
tai15_15.txt - Instance 1,8,3,14,389,480
tai15_15.txt - Instance 1,12,2,10,413,510
tai15_15.txt - Instance 1,6,4,14,480,571
tai15_15.txt - Instance 1,4,6,2,478,573
tai15_15.txt - Instance 1,10,4,5,269,360
tai15_15.txt - Instance 1,13,2,4,449,500
tai15_15.txt - Instance 1,7,6,14,571,670
tai15_15.txt - Instance 1,0,5,2,573,588
tai15_15.txt - Instance 1,11,4,6,437,488
tai15_15.txt - Instance 1,14,7,14,670,743
tai15_15.txt - Instance 1,9,3,2,588,648
tai15_15.txt - Instance 1,3,4,10,510,563
tai15_15.txt - Instance 1,1,4,13,404,461
tai15_15.txt - Instance 1,8,4,0,480,493
tai15_15.txt - Instance 1,11,5,10,563,566
tai15_15.txt - Instance 1,12,3,2,648,668
tai15_15.txt - Instance 1,5,3,13,483,553
tai15_15.txt - Instance 1,1,5,8,461,539
tai15_15.txt - Instance 1,2,5,11,437,491
tai15_15.txt - Instance 1,0,6,10,588,653
tai15_15.txt - Instance 1,6,5,6,571,639
tai15_15.txt - Instance 1,13,3,13,553,628
tai15_15.txt - Instance 1,8,5,1,493,580
tai15_15.txt - Instance 1,4,7,14,743,842
tai15_15.txt - Instance 1,3,5,0,563,657
tai15_15.txt - Instance 1,10,5,12,483,563
tai15_15.txt - Instance 1,7,7,1,670,732
tai15_15.txt - Instance 1,11,6,7,566,650
tai15_15.txt - Instance 1,14,8,11,743,748
tai15_15.txt - Instance 1,11,7,5,650,684
tai15_15.txt - Instance 1,11,8,8,684,712
tai15_15.txt - Instance 1,6,6,1,732,751
tai15_15.txt - Instance 1,9,4,8,712,753
tai15_15.txt - Instance 1,1,6,11,748,756
tai15_15.txt - Instance 1,9,5,0,753,770
tai15_15.txt - Instance 1,12,4,3,668,699
tai15_15.txt - Instance 1,9,6,13,770,836
tai15_15.txt - Instance 1,1,7,9,756,763
tai15_15.txt - Instance 1,11,9,9,763,823
tai15_15.txt - Instance 1,8,6,2,668,750
tai15_15.txt - Instance 1,4,8,12,842,921
tai15_15.txt - Instance 1,0,7,11,756,838
tai15_15.txt - Instance 1,5,4,11,838,854
tai15_15.txt - Instance 1,12,5,6,699,732
tai15_15.txt - Instance 1,6,7,11,854,908
tai15_15.txt - Instance 1,14,9,0,770,778
tai15_15.txt - Instance 1,2,6,13,836,857
tai15_15.txt - Instance 1,0,8,8,838,848
tai15_15.txt - Instance 1,3,6,13,857,915
tai15_15.txt - Instance 1,7,8,2,750,756
tai15_15.txt - Instance 1,13,4,5,684,701
tai15_15.txt - Instance 1,5,5,4,854,885
tai15_15.txt - Instance 1,10,6,6,732,821
tai15_15.txt - Instance 1,8,7,5,750,833
tai15_15.txt - Instance 1,1,8,6,821,912
tai15_15.txt - Instance 1,3,7,4,915,1008
tai15_15.txt - Instance 1,6,8,4,1008,1093
tai15_15.txt - Instance 1,2,7,5,857,863
tai15_15.txt - Instance 1,4,9,5,921,997
tai15_15.txt - Instance 1,9,7,3,836,925
tai15_15.txt - Instance 1,12,6,9,823,856
tai15_15.txt - Instance 1,0,9,14,848,875
tai15_15.txt - Instance 1,10,7,8,848,897
tai15_15.txt - Instance 1,7,9,8,897,959
tai15_15.txt - Instance 1,11,10,13,915,984
tai15_15.txt - Instance 1,14,10,7,778,790
tai15_15.txt - Instance 1,9,8,10,925,1003
tai15_15.txt - Instance 1,13,5,6,912,1001
tai15_15.txt - Instance 1,5,6,14,885,950
tai15_15.txt - Instance 1,13,6,9,1001,1060
tai15_15.txt - Instance 1,8,8,12,921,999
tai15_15.txt - Instance 1,3,8,7,1008,1040
tai15_15.txt - Instance 1,11,11,1,984,1029
tai15_15.txt - Instance 1,5,7,7,1040,1123
tai15_15.txt - Instance 1,12,7,0,856,933
tai15_15.txt - Instance 1,2,8,0,933,987
tai15_15.txt - Instance 1,6,9,5,1093,1166
tai15_15.txt - Instance 1,1,9,10,1003,1082
tai15_15.txt - Instance 1,5,8,2,1123,1201
tai15_15.txt - Instance 1,0,10,9,1060,1153
tai15_15.txt - Instance 1,4,10,1,1029,1122
tai15_15.txt - Instance 1,3,9,14,1040,1131
tai15_15.txt - Instance 1,9,9,7,1123,1211
tai15_15.txt - Instance 1,7,10,4,1093,1100
tai15_15.txt - Instance 1,14,11,3,925,1012
tai15_15.txt - Instance 1,10,8,14,1131,1163
tai15_15.txt - Instance 1,11,12,3,1029,1096
tai15_15.txt - Instance 1,12,8,13,984,1034
tai15_15.txt - Instance 1,4,11,13,1122,1164
tai15_15.txt - Instance 1,8,9,4,1100,1156
tai15_15.txt - Instance 1,0,11,13,1164,1256
tai15_15.txt - Instance 1,13,7,1,1122,1178
tai15_15.txt - Instance 1,2,9,2,1201,1269
tai15_15.txt - Instance 1,8,10,8,1156,1241
tai15_15.txt - Instance 1,10,9,10,1163,1191
tai15_15.txt - Instance 1,11,13,11,1096,1154
tai15_15.txt - Instance 1,7,11,3,1100,1180
tai15_15.txt - Instance 1,6,10,2,1269,1312
tai15_15.txt - Instance 1,5,9,1,1201,1227
tai15_15.txt - Instance 1,3,10,11,1154,1184
