UP,FAZENDA,TRANSPORTADOR,DIA,MES,DB,RSP,QTD_VEICULOS,VOLUME
S5AK10,TURVO III (LEX),Rampazo,1,5,494.9874225687377,1.443982454918312,11,1016.4
S5AK08,TURVO III (LEX),Rampazo,1,5,484.2538258973078,1.515093704135877,10,923.9999999999999
S6BX01,SANTO ANTONIO SALIG.,Tover,1,5,450.0,1.44,14,2032.8000000000002
S5AK10,TURVO III (LEX),Pastori,1,5,494.9874225687377,1.443982454918312,14,1293.6
S5AK08,TURVO III (LEX),Pastori,1,5,484.2538258973078,1.515093704135877,13,1201.1999999999998
S5AK10,TURVO III (LEX),Rampazo,2,5,494.9874225687377,1.443982454918312,11,1016.4
S5AK08,TURVO III (LEX),Rampazo,2,5,484.2538258973078,1.515093704135877,10,923.9999999999999
S6BX01,SANTO ANTONIO SALIG.,Tover,2,5,450.0,1.44,14,2032.8000000000002
S5AK10,TURVO III (LEX),Pastori,2,5,494.9874225687377,1.443982454918312,14,1293.6
S5AK08,TURVO III (LEX),Pastori,2,5,484.2538258973078,1.515093704135877,13,1201.1999999999998
S5AK10,TURVO III (LEX),Rampazo,3,5,494.9874225687377,1.443982454918312,11,1016.4
S5AK08,TURVO III (LEX),Rampazo,3,5,484.2538258973078,1.515093704135877,10,923.9999999999999
S6BX01,SANTO ANTONIO SALIG.,Tover,3,5,450.0,1.44,14,2032.8000000000002
S5AK10,TURVO III (LEX),Pastori,3,5,494.9874225687377,1.443982454918312,14,1293.6
S5AK08,TURVO III (LEX),Pastori,3,5,484.2538258973078,1.515093704135877,13,1201.1999999999998
S5AK10,TURVO III (LEX),Rampazo,4,5,494.9874225687377,1.443982454918312,11,1016.4
S5AK08,TURVO III (LEX),Rampazo,4,5,484.2538258973078,1.515093704135877,10,923.9999999999999
S6BX01,SANTO ANTONIO SALIG.,Tover,4,5,450.0,1.44,14,2032.8000000000002
S5AK10,TURVO III (LEX),Pastori,4,5,494.9874225687377,1.443982454918312,14,1293.6
S5AK08,TURVO III (LEX),Pastori,4,5,484.2538258973078,1.515093704135877,13,1201.1999999999998
S5AK10,TURVO III (LEX),Rampazo,5,5,494.9874225687377,1.443982454918312,11,1016.4
S5AK08,TURVO III (LEX),Rampazo,5,5,484.2538258973078,1.515093704135877,10,923.9999999999999
S6BX01,SANTO ANTONIO SALIG.,Tover,5,5,450.0,1.44,14,2032.8000000000002
S5AK10,TURVO III (LEX),Pastori,5,5,494.9874225687377,1.443982454918312,14,1293.6
S5AK08,TURVO III (LEX),Pastori,5,5,484.2538258973078,1.515093704135877,13,1201.1999999999998
S5AK10,TURVO III (LEX),Rampazo,6,5,494.9874225687377,1.443982454918312,11,1016.4
S5AK08,TURVO III (LEX),Rampazo,6,5,484.2538258973078,1.515093704135877,10,923.9999999999999
S6BX01,SANTO ANTONIO SALIG.,Tover,6,5,450.0,1.44,14,2032.8000000000002
S5AK10,TURVO III (LEX),Pastori,6,5,494.9874225687377,1.443982454918312,14,1293.6
S5AK08,TURVO III (LEX),Pastori,6,5,484.2538258973078,1.515093704135877,13,1201.1999999999998
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Rampazo,7,5,471.88326453558943,1.4101627217065384,11,1089.0
S5AW10,PIRACEMA_GLEBA PULADOR - DX,Rampazo,7,5,489.6578141156763,1.4414397793136209,10,990.0
S6BG14,SINIMBU,Tover,7,5,481.23848707688614,1.5490566931886653,7,800.0
S6BG10,SINIMBU,Tover,7,5,479.65062513371606,1.5474716699257756,7,1100.0
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,7,5,471.88326453558943,1.4101627217065384,14,1386.0
S5AW10,PIRACEMA_GLEBA PULADOR - DX,Pastori,7,5,489.6578141156763,1.4414397793136209,13,1287.0
