UP,FAZENDA,TRANSPORTADOR,DIA,MES,DB,RSP,QTD_VEICULOS,VOLUME,RSP_WEIGHTED_SUM
S6BX01,SANTO ANTONIO SALIG.,Tover,1,5,450.0,1.44,14,2032.8000000000002,2927.232
S5AK09,TURVO III (LEX),Pastori,1,5,485.00174033075893,1.513739550085731,16,1478.3999999999999,2237.9125508467446
S5AK10,TURVO III (LEX),Pastori,1,5,494.9874225687377,1.443982454918312,11,1016.4,1467.6637671789722
S5AW05,PIRACEMA_GLEBA PULADOR - DX,Rampazo,1,5,450.0,1.44,21,2079.0,2993.7599999999998
S6BX01,SANTO ANTONIO SALIG.,Tover,2,5,450.0,1.44,14,2032.8000000000002,2927.232
S5AK09,TURVO III (LEX),Pastori,2,5,485.00174033075893,1.513739550085731,16,1478.3999999999999,2237.9125508467446
S5AK10,TURVO III (LEX),Pastori,2,5,494.9874225687377,1.443982454918312,11,1016.4,1467.6637671789722
S5AW05,PIRACEMA_GLEBA PULADOR - DX,Rampazo,2,5,450.0,1.44,21,2079.0,2993.7599999999998
S3AX01,INDIANA II,Rampazo,3,5,476.35931165453064,1.546496658710454,21,2494.8,3858.199864150841
S6C297,FORTALEZA,Tover,3,5,408.37627157534126,1.3673991120765037,14,1940.4,2653.3012370732476
S5AW10,PIRACEMA_GLEBA PULADOR - DX,Pastori,3,5,489.6578141156763,1.4414397793136209,11,1089.0,1569.727919672533
S5AW05,PIRACEMA_GLEBA PULADOR - DX,Pastori,3,5,450.0,1.44,16,1584.0,2280.96
