UP;FAZENDA;TRANSPORTADOR;DIA;MES;DB;RSP;QTD_VEICULOS;VOLUME
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;1;5;467.5533513;1.378530302;9;891
S5AW05;PIRACEMA_GLEBA PULADOR - DX;Rampazo;1;5;450;1.44;12;1188
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;1;5;467.5533513;1.378530302;27;2673
S6BX01;SANTO ANTONIO SALIG.;Tover;1;5;450;1.44;14;2032.8
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;2;5;467.5533513;1.378530302;9;891
S5AW05;PIRACEMA_GLEBA PULADOR - DX;Rampazo;2;5;450;1.44;12;1188
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;2;5;467.5533513;1.378530302;27;2673
S6BX01;SANTO ANTONIO SALIG.;Tover;2;5;450;1.44;14;2032.8
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;3;5;467.5533513;1.378530302;9;891
S5AW05;PIRACEMA_GLEBA PULADOR - DX;Rampazo;3;5;450;1.44;12;1188
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;3;5;467.5533513;1.378530302;27;2673
S6BX01;SANTO ANTONIO SALIG.;Tover;3;5;450;1.44;14;2032.8
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;4;5;467.5533513;1.378530302;9;891
S5AW05;PIRACEMA_GLEBA PULADOR - DX;Rampazo;4;5;450;1.44;12;1188
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;4;5;467.5533513;1.378530302;27;2673
S6BX01;SANTO ANTONIO SALIG.;Tover;4;5;450;1.44;14;2032.8
S5AK05;TURVO III (LEX);Pastori;5;5;493.2032473;1.479044882;11;1016.4
S5AK10;TURVO III (LEX);Pastori;5;5;494.9874226;1.443982455;16;1478.4
S5AK05;TURVO III (LEX);Rampazo;5;5;493.2032473;1.479044882;21;1940.4
S6BX01;SANTO ANTONIO SALIG.;Tover;5;5;450;1.44;14;2032.8
S5AK05;TURVO III (LEX);Pastori;6;5;493.2032473;1.479044882;11;1016.4
S5AK10;TURVO III (LEX);Pastori;6;5;494.9874226;1.443982455;16;1478.4
S5AK05;TURVO III (LEX);Rampazo;6;5;493.2032473;1.479044882;21;1940.4
S6BX01;SANTO ANTONIO SALIG.;Tover;6;5;450;1.44;14;2032.8
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;7;5;467.5533513;1.378530302;11;1089
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Pastori;7;5;489.6578141;1.441439779;16;1584
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;7;5;467.5533513;1.378530302;21;2079
S6BX01;SANTO ANTONIO SALIG.;Tover;7;5;450;1.44;14;2032.8
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;8;5;467.5533513;1.378530302;27;2673
S3AX02;INDIANA II;Rampazo;8;5;475.0824972;1.540128032;9;1069.2
S3AX04;INDIANA II;Rampazo;8;5;471.0267981;1.511823289;12;1300
S6C298;FORTALEZA;Tover;8;5;475.5922897;1.622174956;6;831.6
S6C335;FORTALEZA;Tover;8;5;462.1574965;1.519874087;8;1108.8
