UP;FAZENDA;TRANSPORTADOR;DIA;MES;DB;RSP;QTD_VEICULOS;VOLUME
S3AX01;INDIANA II;Pastori;1;5;476,35931165453064;1,546496658710454;27;3207,6
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Rampazo;1;5;471,88326453558943;1,4101627217065384;27;2673,0
S6BG12;SINIMBU;Tover;1;5;478,1907425638097;1,5321403213808318;4;660,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Pastori;2;5;471,88326453558943;1,4101627217065384;27;2673,0
S3AX01;INDIANA II;Rampazo;2;5;476,35931165453064;1,546496658710454;27;3207,6
S6BG12;SINIMBU;Tover;2;5;478,1907425638097;1,5321403213808318;4;660,0
S3AX01;INDIANA II;Pastori;3;5;476,35931165453064;1,546496658710454;27;3207,6
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Rampazo;3;5;471,88326453558943;1,4101627217065384;27;2673,0
S6BG12;SINIMBU;Tover;3;5;478,1907425638097;1,5321403213808318;4;660,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Pastori;4;5;471,88326453558943;1,4101627217065384;27;2673,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Rampazo;4;5;471,88326453558943;1,4101627217065384;27;2673,0
S6BX01;SANTO ANTONIO SALIG.;Tover;4;5;450,0;1,44;8;1161,6000000000001
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Pastori;5;5;489,6578141156763;1,4414397793136209;27;2673,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Rampazo;5;5;471,88326453558943;1,4101627217065384;27;2673,0
S6BX01;SANTO ANTONIO SALIG.;Tover;5;5;450,0;1,44;8;1161,6000000000001
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Pastori;6;5;489,6578141156763;1,4414397793136209;27;2673,0
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Rampazo;6;5;489,6578141156763;1,4414397793136209;27;2673,0
S6BX01;SANTO ANTONIO SALIG.;Tover;6;5;450,0;1,44;8;1161,6000000000001
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;7;5;467,55335131606887;1,3785303023915199;27;2673,0
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Rampazo;7;5;489,6578141156763;1,4414397793136209;27;2673,0
S6BX01;SANTO ANTONIO SALIG.;Tover;7;5;450,0;1,44;8;1161,6000000000001
S5AK10;TURVO III (LEX);Pastori;8;5;494,9874225687377;1,443982454918312;27;2494,7999999999997
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;8;5;467,55335131606887;1,3785303023915199;27;2673,0
S6BG12;SINIMBU;Tover;8;5;478,1907425638097;1,5321403213808318;8;1320,0
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;9;5;467,55335131606887;1,3785303023915199;27;2673,0
S5AK10;TURVO III (LEX);Rampazo;9;5;494,9874225687377;1,443982454918312;27;2494,7999999999997
S6BG12;SINIMBU;Tover;9;5;478,1907425638097;1,5321403213808318;8;1320,0
S5AK10;TURVO III (LEX);Pastori;10;5;494,9874225687377;1,443982454918312;27;2494,7999999999997
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;10;5;467,55335131606887;1,3785303023915199;27;2673,0
S6BG12;SINIMBU;Tover;10;5;478,1907425638097;1,5321403213808318;8;1320,0
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;11;5;467,55335131606887;1,3785303023915199;27;2673,0
S5AK10;TURVO III (LEX);Rampazo;11;5;494,9874225687377;1,443982454918312;27;2494,7999999999997
S6BG12;SINIMBU;Tover;11;5;478,1907425638097;1,5321403213808318;8;1320,0
S5AK10;TURVO III (LEX);Pastori;12;5;494,9874225687377;1,443982454918312;27;2494,7999999999997
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;12;5;467,55335131606887;1,3785303023915199;27;2673,0
